"samples","zscore"
"MMRF_1778_1_BM","1.52698230059214"
"MMRF_1782_1_BM","-0.849686906585844"
"MMRF_1783_1_BM","0.521109006752769"
"MMRF_1785_1_BM","1.227304761141"
"MMRF_1786_1_BM","1.01817541902642"
"MMRF_1787_1_BM","-1.97142924973836"
"MMRF_1792_1_BM","0.384264213370124"
"MMRF_1793_1_BM","-0.648139421265517"
"MMRF_1795_1_BM","-2.3135086831255"
"MMRF_1796_1_BM","-0.527582768415306"
"MMRF_1797_1_BM","-0.534903055145088"
"MMRF_1801_1_BM","-0.408777875292857"
"MMRF_1802_1_BM","-0.831493933183438"
"MMRF_1807_1_BM","-0.721037783064756"
"MMRF_1808_1_BM","-0.874798122140022"
"MMRF_1810_1_BM","1.12322528264266"
"MMRF_1817_1_BM","-0.708668466344456"
"MMRF_1819_1_BM","-2.74016061060584"
"MMRF_1822_1_BM","2.61192342723352"
"MMRF_1823_1_BM","2.90067394303135"
"MMRF_1825_1_BM","0.712892613611481"
"MMRF_1830_1_BM","0.422623226549593"
"MMRF_1831_1_BM","0.554817669356266"
"MMRF_1832_1_BM","0.646088700089629"
"MMRF_1835_1_BM","-1.17951497215313"
"MMRF_1837_1_BM","-0.768300314095317"
"MMRF_1842_1_BM","-1.70732948874521"
"MMRF_1845_1_BM","0.61155885007909"
"MMRF_1846_1_BM","0.11583360674225"
"MMRF_1847_1_BM","1.3827761519082"
"MMRF_1854_1_BM","-0.198128563350821"
"MMRF_1855_1_BM","-0.141028312023693"
"MMRF_1856_1_BM","-0.913439881805713"
"MMRF_1857_1_BM","-0.737092727289776"
"MMRF_1859_1_BM","0.589717656648354"
"MMRF_1860_1_BM","-0.645937827081065"
"MMRF_1865_1_BM","0.0243196645724373"
"MMRF_1867_1_BM","-0.690838320007976"
"MMRF_1871_1_BM","-0.303646529013377"
"MMRF_1876_1_BM","-0.925182612425832"
"MMRF_1879_1_BM","-0.38361215642537"
"MMRF_1881_1_BM","-0.35563954766335"
"MMRF_1882_1_BM","-1.37950080714586"
"MMRF_1886_1_BM","-0.0125482068369909"
"MMRF_1890_1_BM","0.710185727128985"
"MMRF_1893_1_BM","0.120418007189745"
"MMRF_1900_1_BM","-0.77799578361487"
